Artist,song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,avg_rank,months_on_chart,eng_line_ratio,eng_word_ratio,company,gender
Shinhwa,The Snowy Night,0.703,0.805,1,-4.927,1,0.0343,0.232,0,0.342,0.865,125.961,246022,4,50,1,0.119402985,0.09787234,SM,Male
Shinhwa,"Hey, Dude!",0.703,0.862,8,-8.247,1,0.0712,0.185,2.57E-05,0.0934,0.83,98.04,215681,4,50,1,0.063063063,0.123188406,SM,Male
god,웃픈 하루,0.604,0.787,1,-4.617,1,0.0377,0.527,0,0.126,0.646,78.035,248587,4,50,1,0.028985507,0.022222222,JYP,Male
god,바람,0.621,0.682,0,-4.983,1,0.0304,0.126,0,0.117,0.284,129.948,245633,4,50,2,0,0,JYP,Male
MBLAQ,Mona Lisa,0.658,0.863,11,-4.96,0,0.0651,0.0535,0,0.399,0.797,127.04,221532,4,35.66666667,3,0.448275862,0.536964981,J. Tune,Male
MBLAQ,Oh Yeah,0.8,0.753,7,-6.688,1,0.159,0.0837,1.34E-06,0.0831,0.566,119.984,209229,4,44.25,4,0.647058824,0.585964912,J. Tune,Male
BoA,So What,0.666,0.793,1,-4.103,1,0.0666,0.353,0,0.0636,0.678,125.032,185991,4,36.66666667,3,0,0,SM,SM
BoA,No Matter What,0.666,0.793,1,-4.103,1,0.0666,0.353,0,0.0636,0.678,125.032,185991,4,48.5,2,0.368421053,0.47311828,SM,Female
BoA,Disturbance,0.73,0.817,2,-4.92,1,0.0559,0.0699,3.50E-05,0.351,0.653,100.019,197091,4,20.5,2,0,0,SM,Female
BIGBANG,꽃 길,0.71,0.654,1,-4.765,0,0.0858,0.124,0,0.15,0.624,94.862,228632,4,28.28571429,7,0.063492063,0.050541516,YG,Male
BIGBANG,STILL ALIVE,0.668,0.929,5,-2.959,0,0.27,0.0318,0,0.0675,0.67,109.959,198533,4,30.33333333,3,0.217948718,0.182857143,YG,Male
BIGBANG,MONSTER,0.643,0.786,0,-4.251,1,0.0414,0.00584,0,0.369,0.462,128.003,231293,4,22.25,4,0.208955224,0.21875,YG,Male
BIGBANG,FEELING,0.797,0.783,7,-3.904,1,0.153,0.0182,0,0.133,0.67,126.933,215480,4,37,2,0.493670886,0.464387464,YG,Male
BIGBANG,빙글빙글,0.74,0.773,1,-3.324,0,0.0397,0.00874,0,0.059,0.81,125.042,180533,4,40.5,2,0.447761194,0.5,YG,Male
BIGBANG,EGO,0.794,0.788,10,-3.853,0,0.0404,0.0209,0,0.131,0.842,120.995,205200,4,36.5,2,0.467741935,0.40942029,YG,Male
BIGBANG,INTRO (ALIVE),0.641,0.914,10,-4.549,0,0.221,0.0105,0,0.194,0.73,110.08,47643,4,46,1,0.607142857,0.403669725,YG,Male
BIGBANG,BLUE,0.608,0.706,7,-7.275,1,0.0853,0.0595,0,0.056,0.357,124.985,233099,4,30.2,5,0.142857143,0.135964912,YG,Male
BIGBANG,사랑먼지,0.663,0.757,0,-5.336,1,0.0857,0.0337,0,0.267,0.56,129.888,231816,4,32.33333333,3,0.035087719,0.017241379,YG,Male
