Artist,Artist_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,avg_rank,weeks_on_chart,English_percent
SECHSKIES,6uRyNreOHUvWPNGnKfIo27,DON?ôT LOOK BACK,3szqGZtiiS8hmIPcT9qBgh,0.535,0.484,0,-8.209,1,0.0301,0.678,2.18E-06,0.108,0.233,124.038,249263,4,45.8,5,0
SECHSKIES,6uRyNreOHUvWPNGnKfIo27,ALL FOR YOU,4jB0ikdBeXiIIP97TPXIPt,0.622,0.756,4,-4.838,0,0.0473,0.0705,0,0.108,0.718,167.902,242977,4,46.66666667,3,18.69
god,1nTCpd63NkuGGpCIbo4Ywl,A Funny But Sad Day,4DI4p7CW9yNyC6ekp4sdV0,0.604,0.787,1,-4.617,1,0.0377,0.527,0,0.126,0.646,78.035,248587,4,57,6,0.74
god,1nTCpd63NkuGGpCIbo4Ywl,The Things You Need to Do,7C9yyuKKwYFmrRqUUBIRZN,0.686,0.713,3,-4.972,0,0.127,0.3,0,0.164,0.692,136.026,234347,4,55,1,0
MBLAQ,14f1WN9TUDVBK4sHUStmLG,Mirror,5V5m1uts8SWveTW1GuEsKC,0.569,0.771,11,-5.2,0,0.0946,0.266,0,0.131,0.483,139.715,240013,4,80,1,1.32
MBLAQ,14f1WN9TUDVBK4sHUStmLG,White Forever,5OIqV3l44nJhuitWStEtVQ,0.78,0.924,0,-4.746,1,0.0543,0.101,0,0.0927,0.693,122.983,219887,4,51,2,18.52
MBLAQ,14f1WN9TUDVBK4sHUStmLG,Mona Lisa,5FPaK0UNFA124uvUMJgIFE,0.658,0.863,11,-4.96,0,0.0651,0.0535,0,0.399,0.797,127.04,221532,4,36.4,10,45.77
MBLAQ,14f1WN9TUDVBK4sHUStmLG,I Belong to You,2lNtl0ls0uYaNzkWhvkR4F,0.708,0.819,0,-3.258,1,0.0395,0.0676,0,0.149,0.851,119.969,213734,4,76,2,31.46
BoA,4muJrGMndyYWqZtfk8OWy4,No Matter What,0Yc2gPL8g9P6FUEFXhtI3q,0.666,0.793,1,-4.103,1,0.0666,0.353,0,0.0636,0.678,125.032,185991,4,48.64285714,14,46.59
BoA,4muJrGMndyYWqZtfk8OWy4,Christmas Paradise,3CCx01PD91mU3VAwxmYaJo,0.726,0.695,1,-4.615,1,0.0474,0.637,0,0.0913,0.358,110.979,236083,4,67,1,12.24
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,FLOWER ROAD,5tmKSkKHNVrxh4Fctj2TdS,0.71,0.654,1,-4.765,0,0.0858,0.124,0,0.15,0.624,94.862,228632,4,174,1,8.79
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Blue,4LOLvDtzykDC7y9WehFoOi,0.608,0.706,7,-7.275,1,0.0853,0.0595,0,0.056,0.357,124.985,233099,4,52,1,13.45
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Love Song,784qSLhmIjbc37plSfaPzF,0.554,0.868,2,-3.9,1,0.0455,0.00273,1.06E-05,0.0725,0.301,123.04,225813,4,33.08333333,12,20.61
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Stupid Liar,0ZHfjGYU26P7B0j1MmHeG8,0.624,0.81,0,-4.322,1,0.0336,0.0627,0,0.105,0.491,127.93,234787,4,35.11111111,9,29.44
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Tonight,2G8HyURZh9SBNuCzllz8Fu,0.611,0.9,3,-2.57,0,0.0432,0.0785,0,0.413,0.332,129.871,223787,4,29.93333333,15,32
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,What Can I Do (?¥Ï??ºÍ?),7ol0oqTmY736rliZnqfG43,0.764,0.945,5,-2.82,1,0.0472,0.0386,0,0.125,0.587,128.023,220693,4,29.6,10,38.22
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Baby Don't Cry,2xi3O5Z1sApFoIjbskYfcD,0.649,0.756,2,-5.35,1,0.0309,0.038,0,0.381,0.343,95.006,271760,4,45,3,32.18
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Intro (Thank You & You),3UWJ4kyUTom1dvDTqKYy5h,0.915,0.682,8,-6.85,1,0.376,0.009,1.38E-06,0.0968,0.955,120.016,94573,4,35.5,4,47.67
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Hands Up,1R1wuzQxZhghrjJZvqReyW,0.607,0.948,9,-3.508,0,0.0652,0.0104,0,0.286,0.358,130.031,237253,4,39.125,8,67.62
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Somebody To Love,4UIKBrkH4ZKI2glKwQFDSV,0.778,0.883,1,-3.125,1,0.0492,0.061,0,0.104,0.774,128.005,213640,4,35.5,8,49.23
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,What Is Right,7lUuLySlWkAAXF2olbxWEV,0.795,0.89,8,-2.78,0,0.0368,0.235,0,0.204,0.734,126.037,224320,4,29.63636364,11,34.42
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Cafe,4mm23jt7cimDkeHu1VcS2v,0.798,0.749,5,-4.938,0,0.0424,0.229,0,0.338,0.704,106.049,219947,4,33.46153846,13,15.72
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Lollipop Part.2,7jJnHoPel2hxKFlcLgTmoJ,0.834,0.834,1,-3.207,1,0.0275,0.00163,0,0.162,0.803,119.981,200249,4,30.9,10,49.12
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Intro - Stand Up,4bfKZmzdoP3mJdAYZ8tqw7,0.825,0.883,6,-4.531,1,0.0831,0.0235,0,0.125,0.816,116.919,97293,4,70,2,61.76
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Lies,54SpjxPioot7g7hVfbrXHh,0.781,0.849,6,-5.644,1,0.0568,0.159,0,0.93,0.665,124.986,229120,4,60,3,37.92
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Sailing (0805),4uJ3OmCWKLIKkk94iJUjE5,0.588,0.586,11,-4.857,1,0.0272,0.71,0,0.102,0.395,141.913,260835,4,35.75,4,15.53
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Catch Me If You Can - Korean Version,5mejZAeca4Ry7Sptw7LnvS,0.714,0.852,9,-2.76,0,0.274,0.0154,0,0.135,0.565,133.989,225173,4,49.25,4,47.89
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Hoot,1uLBl4JvBl7bwSRkxmggkS,0.683,0.98,7,-1.493,0,0.0641,0.0754,4.92E-06,0.869,0.934,128.058,199627,4,32.3125,16,18.44
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Mistake,6BrhkD3BvUf1EFrWBqxVzf,0.597,0.664,2,-3.873,1,0.0293,0.307,0,0.116,0.129,124.005,249013,4,63,4,5.59
SNSD,0Sadg1vgvaPqGTOjxu0N6c,My Best Friend,4sBDe6HM2JTSP1XbQNN4W1,0.736,0.835,5,-2.728,1,0.0585,0.541,0,0.661,0.906,119.989,206907,4,70.66666667,3,9.52
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Wake Up,6tENlLxDRp3LTNqmyZqKNK,0.857,0.658,8,-2.646,1,0.0852,0.0478,0.00126,0.0355,0.695,119.996,197173,4,77.5,2,8.47
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Snowy Wish,1GqkLHmcTwQ51JLYrfTrGa,0.709,0.836,1,-2.524,1,0.0518,0.307,0,0.302,0.269,121.979,208587,4,57.5,4,0
SNSD,0Sadg1vgvaPqGTOjxu0N6c,Destiny,2cHUUBY7icbhD2eDGrBDEJ,0.648,0.983,4,-2.75,0,0.0964,0.203,0,0.226,0.72,173.978,205907,4,62.8,5,10.04
