Artist,Artist_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,eng_line_ratio,eng_word_ratio,avg_rank,months_on_chart,company,gender
Shinhwa,0jVvkFPa6YbFXQ3Qmhita0,The Snowy Night,3Ddkqe4FMRiNlbz5ktiobz,0.703,0.805,1,-4.927,1,0.0343,0.232,0,0.342,0.865,125.961,246022,4,0.119402985,0.09787234,50,1,SM,Male
Shinhwa,0jVvkFPa6YbFXQ3Qmhita0,"Hey, Dude!",5MK2iVrEQdLDQJIZYMbUlh,0.703,0.862,8,-8.247,1,0.0712,0.185,2.57E-05,0.0934,0.83,98.04,215681,4,0.063063063,0.123188406,50,1,SM,Male
god,1nTCpd63NkuGGpCIbo4Ywl,A Funny But Sad Day,4DI4p7CW9yNyC6ekp4sdV0,0.604,0.787,1,-4.617,1,0.0377,0.527,0,0.126,0.646,78.035,248587,4,0.028985507,0.022222222,50,1,JYP,Male
god,1nTCpd63NkuGGpCIbo4Ywl,Wind,28Qqh33f72cf6jFBxz7CFZ,0.621,0.682,0,-4.983,1,0.0304,0.126,0,0.117,0.284,129.948,245633,4,0,0,50,2,JYP,Male
MBLAQ,14f1WN9TUDVBK4sHUStmLG,Mona Lisa,5FPaK0UNFA124uvUMJgIFE,0.658,0.863,11,-4.96,0,0.0651,0.0535,0,0.399,0.797,127.04,221532,4,0.448275862,0.536964981,35.66666667,3,J. Tune,Male
MBLAQ,14f1WN9TUDVBK4sHUStmLG,Oh Yeah,6ZiUqGTo40Xl0DqePb3eZd,0.8,0.753,7,-6.688,1,0.159,0.0837,1.34E-06,0.0831,0.566,119.984,209229,4,0.647058824,0.585964912,44.25,4,J. Tune,Male
BoA,4muJrGMndyYWqZtfk8OWy4,No Matter What,0Yc2gPL8g9P6FUEFXhtI3q,0.666,0.793,1,-4.103,1,0.0666,0.353,0,0.0636,0.678,125.032,185991,4,0,0,36.66666667,3,SM,SM
BoA,4muJrGMndyYWqZtfk8OWy4,No Matter What,0Yc2gPL8g9P6FUEFXhtI3q,0.666,0.793,1,-4.103,1,0.0666,0.353,0,0.0636,0.678,125.032,185991,4,0.368421053,0.47311828,48.5,2,SM,Female
BoA,4muJrGMndyYWqZtfk8OWy4,Disturbance,5PlY7G0GELK3as0Ch74IXf,0.73,0.817,2,-4.92,1,0.0559,0.0699,3.50E-05,0.351,0.653,100.019,197091,4,0,0,20.5,2,SM,Female
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,FLOWER ROAD,5tmKSkKHNVrxh4Fctj2TdS,0.71,0.654,1,-4.765,0,0.0858,0.124,0,0.15,0.624,94.862,228632,4,0.063492063,0.050541516,28.28571429,7,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Still Alive,7DUl32UdrwpCXgs7vVXJF2,0.668,0.929,5,-2.959,0,0.27,0.0318,0,0.0675,0.67,109.959,198533,4,0.217948718,0.182857143,30.33333333,3,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Monster,0c7QMo952Ga2qAJMdfEcrb,0.643,0.786,0,-4.251,1,0.0414,0.00584,0,0.369,0.462,128.003,231293,4,0.208955224,0.21875,22.25,4,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Feeling,0LpZo1lRGyuiEyb5CtF3ja,0.797,0.783,7,-3.904,1,0.153,0.0182,0,0.133,0.67,126.933,215480,4,0.493670886,0.464387464,37,2,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Bingle Bingle (ÎπôÍ?ÎπôÍ?),5nEqDf0voYu56KiHf7cfDe,0.74,0.773,1,-3.324,0,0.0397,0.00874,0,0.059,0.81,125.042,180533,4,0.447761194,0.5,40.5,2,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Ego,6whEx8LRxGMFj0oqXP0vX3,0.794,0.788,10,-3.853,0,0.0404,0.0209,0,0.131,0.842,120.995,205200,4,0.467741935,0.40942029,36.5,2,YG,Male
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,Intro (Alive),4G1DVtcCpyzcA3tBjOvF38,0.641,0.914,10,-4.549,0,0.221,0.0105,0,0.194,0.73,110.08,47643,4,0.607142857,0.403669725,46,1,YG,Male
